voter_name,affiliation,x1st_place_10_points,x2nd_place_7_points,x3rd_place_5_points,x4th_place_3_points,x5th_place_1_point,year,award
Bennett Durando,Denver Post,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
James Edwards III,The Athletic,"Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Chris Fedor,Cleveland.com,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Ignacio Garcia,MARCA,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Domantas Sabonis, Sacramento","Anthony Edwards, Minnesota",2024,MVP
Brian Geltzeiler,Sirius Radio,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jalen Brunson, New York","Giannis Antetokounmpo, Milwaukee",2024,MVP
Vince Goodwill,Yahoo! Sports,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Michael Grange,Rogers Sportsnet,"Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Luka Doncic, Dallas","Jalen Brunson, New York","Giannis Antetokounmpo, Milwaukee",2024,MVP
Jared Greenberg,WarnerMedia,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jalen Brunson, New York","Giannis Antetokounmpo, Milwaukee",2024,MVP
Mike Greenberg,ESPN,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jalen Brunson, New York","Giannis Antetokounmpo, Milwaukee",2024,MVP
Will Guillory,The Athletic,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Zach Harper,The Athletic,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jalen Brunson, New York","Giannis Antetokounmpo, Milwaukee",2024,MVP
Kurt Helin,NBCSports.com,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
James Herbert,CBSSports.com,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Adam Himmelsbach,Boston Globe,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jalen Brunson, New York","Jayson Tatum, Boston",2024,MVP
Cassidy Hubbarth,ESPN,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Kelly Iko,The Athletic,"Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Luka Doncic, Dallas","Jalen Brunson, New York","Giannis Antetokounmpo, Milwaukee",2024,MVP
Frank Isola,Sirius Radio,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jalen Brunson, New York","Jayson Tatum, Boston",2024,MVP
Richard Jefferson,ESPN,"Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Luka Doncic, Dallas","Jalen Brunson, New York","Jayson Tatum, Boston",2024,MVP
Ernie Johnson,WarnerMedia,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jalen Brunson, New York","Giannis Antetokounmpo, Milwaukee",2024,MVP
Tony Jones,The Athletic,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jayson Tatum, Boston","Jalen Brunson, New York",2024,MVP
Marc Kestecher,ESPN,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jalen Brunson, New York","Giannis Antetokounmpo, Milwaukee",2024,MVP
Tolis Kotzias,SDNA,"Giannis Antetokounmpo, Milwaukee","Nikola Jokic, Denver","Anthony Edwards, Minnesota","Jalen Brunson, New York","Shai Gilgeous-Alexander, Oklahoma City",2024,MVP
Adam Lefkoe,WarnerMedia,"Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Rob Mahoney,The Ringer,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Chris Mannix,Sports Illustrated,"Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Jeff McDonald,San Antonio Express-News,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Steve McGehee,News 9,"Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Dave McMenamin,ESPN,"Nikola Jokic, Denver","Luka Doncic, Dallas","Jayson Tatum, Boston","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee",2024,MVP
Chao Meng,ESPN (China),"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jalen Brunson, New York","Jayson Tatum, Boston",2024,MVP
Jonathan Mitchell Fuentes,Cignal,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Yoko Miyaji,Sports Graphic Number,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Yoav Modai,Sport 5,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Eric Nehm,The Athletic,"Nikola Jokic, Denver","Giannis Antetokounmpo, Milwaukee","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jayson Tatum, Boston",2024,MVP
Rachel Nichols,SHO,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Kevin O'Connor,The Ringer,"Nikola Jokic, Denver","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Shai Gilgeous-Alexander, Oklahoma City","Jalen Brunson, New York",2024,MVP
Chiney Ogwumike,ESPN,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jayson Tatum, Boston","Jalen Brunson, New York",2024,MVP
Candace Parker,WarnerMedia,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jayson Tatum, Boston","Giannis Antetokounmpo, Milwaukee",2024,MVP
Dave Pasch,ESPN,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jalen Brunson, New York","Giannis Antetokounmpo, Milwaukee",2024,MVP
Kevin Pelton,ESPN,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Kendrick Perkins,ESPN,"Shai Gilgeous-Alexander, Oklahoma City","Jalen Brunson, New York","Nikola Jokic, Denver","Luka Doncic, Dallas","Anthony Edwards, Minnesota",2024,MVP
Michael Pina,The Ringer,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Julia Poe,Chicago Tribune,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Keith Pompey,Philadelphia Inquirer,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Shaun Powell,NBA.com,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jayson Tatum, Boston","Giannis Antetokounmpo, Milwaukee",2024,MVP
Khobi Price,Southern California News Group,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Jason Quick,The Athletic,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jayson Tatum, Boston","Jalen Brunson, New York",2024,MVP
Duane Rankin,Arizona Republic,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jalen Brunson, New York","Jayson Tatum, Boston",2024,MVP
Stephanie Ready,WarnerMedia,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jalen Brunson, New York","Giannis Antetokounmpo, Milwaukee",2024,MVP
JJ Redick,ESPN,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jayson Tatum, Boston","Jalen Brunson, New York",2024,MVP
Bill Reiter,CBSSports.com,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Remi Reverchon,BeIN Sports,"Luka Doncic, Dallas","Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Tim Reynolds,Associated Press,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jayson Tatum, Boston","Jalen Brunson, New York",2024,MVP
Josh Robbins,The Athletic,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Melissa Rohlin,Fox Sports,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Taylor Rooks,Bleacher Report,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jalen Brunson, New York","Jayson Tatum, Boston",2024,MVP
Ryen Russillo,The Ringer,"Nikola Jokic, Denver","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Shai Gilgeous-Alexander, Oklahoma City","Jalen Brunson, New York",2024,MVP
Simone Sandri,La Gazzetta dello Sport,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jalen Brunson, New York","Giannis Antetokounmpo, Milwaukee",2024,MVP
John Schuhmann,NBA.com,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Luka Doncic, Dallas","Jalen Brunson, New York",2024,MVP
Dennis Scott,WarnerMedia,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Anthony Edwards, Minnesota","Jayson Tatum, Boston",2024,MVP
Ramona Shelburne,ESPN,"Nikola Jokic, Denver","Jalen Brunson, New York","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jayson Tatum, Boston",2024,MVP
Bill Simmons,The Ringer,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jalen Brunson, New York","Giannis Antetokounmpo, Milwaukee",2024,MVP
Anthony Slater,The Athletic,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Doug Smith,The Toronto Star,"Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Stephen A. Smith,ESPN,"Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Luka Doncic, Dallas","Jalen Brunson, New York","Jayson Tatum, Boston",2024,MVP
Steve Smith,WarnerMedia,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jayson Tatum, Boston","Giannis Antetokounmpo, Milwaukee",2024,MVP
Seerat Sohi,The Ringer,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jayson Tatum, Boston","Jalen Brunson, New York",2024,MVP
Justin Termine,Sirius Radio,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jalen Brunson, New York","Jayson Tatum, Boston",2024,MVP
Brad Townsend,Dallas Morning News,"Luka Doncic, Dallas","Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Jalen Brunson, New York","Jayson Tatum, Boston",2024,MVP
Stan Van Gundy,WarnerMedia,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Jalen Brunson, New York","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee",2024,MVP
Joe Vardon,The Athletic,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jalen Brunson, New York","Giannis Antetokounmpo, Milwaukee",2024,MVP
Gary Washburn,Boston Globe,"Nikola Jokic, Denver","Jalen Brunson, New York","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jayson Tatum, Boston",2024,MVP
Michael Wilbon,ESPN,"Nikola Jokic, Denver","Anthony Edwards, Minnesota","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jayson Tatum, Boston",2024,MVP
Brian Windhorst,ESPN,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Matt Winer,WarnerMedia,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Kristian Winfield,New York Daily News,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jalen Brunson, New York","Giannis Antetokounmpo, Milwaukee",2024,MVP
Ryan Wolstat,The Toronto Sun,"Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Michael C. Wright,NBA.com,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Ohm Youngmisuk,ESPN,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Jeff Zillgitt,USA Today,"Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
David Aldridge,The Athletic,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Sam Amick,The Athletic,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Greg Anthony,WarnerMedia,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Steve Aschburner,NBA.com,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Maxime Aubin,L'Equipe,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Eduardo Barao,BAND,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Curry Stephen (GSW),Tatum Jayson (BOS),2023,MVP
Howard Beck,PBWA/GQ,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Stefan Bondy,New York Daily News,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Tim Bontemps,ESPN,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Gilgeous-Alexander Shai (OKC),Tatum Jayson (BOS),2023,MVP
Rod Boone,Charlotte Observer,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Chris Broussard,Fox Sports,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Ric Bucher,FS1,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Brunson Jalen (NYK),2023,MVP
Jovan Buha,The Athletic,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Doris Burke,ESPN,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Callie Caplan,Dallas Morning News,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Shams Charania,The Athletic/Stadium,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Anthony Chiang,Miami Herald,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Butler Jimmy (MIA),2023,MVP
Damichael Cole,Memphis Commercial Appeal,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Jamal Collier,ESPN,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Antoni Daimiel,Movistar+,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Dan Devine,Yahoo! Sports,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Chris Fedor,Cleveland.com,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Doncic Luka (DAL),2023,MVP
Aaron Fentress,The Oregonian,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Mike Ganter,The Toronto Sun,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Doncic Luka (DAL),Tatum Jayson (BOS),2023,MVP
Brian Geltzeiler,Sirius Radio,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Vince Goodwill,Yahoo! Sports,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Michael Grange,Rogers Sportsnet,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Gilgeous-Alexander Shai (OKC),Butler Jimmy (MIA),2023,MVP
Jared Greenberg,WarnerMedia,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Mike Greenberg,ESPN,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Will Guillory,The Athletic,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Zach Harper,The Athletic,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Max Haupt,DPA,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Kurt Helin,NBCSports.com,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Chris Herring,Sports Illustrated,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Gilgeous-Alexander Shai (OKC),Tatum Jayson (BOS),2023,MVP
Adam Himmelsbach,Boston Globe,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Cassidy Hubbarth,ESPN,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Kelly Iko,The Athletic,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Frank Isola,Sirius Radio,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Mark Jackson,ESPN,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),Mitchell Donovan (CLE),2023,MVP
